Id,Player,Said,To,In response to,Created at
183606,Player #29403,yes,ubc air quality sensor,Do you think technology in the future will be more emotional?,2021-07-30 06:24:51 UTC
183605,Player #29403,you are!,ubc air quality sensor,Who is your hero?,2021-07-30 06:24:32 UTC
183604,Player #29403,they will improve,ubc air quality sensor,How do you think smartphones will affect family relationships in the future?,2021-07-30 06:24:16 UTC
183603,Player #29403,smoke,ubc air quality sensor,What really makes you angry?,2021-07-30 06:23:52 UTC
183602,Player #29403,High-Risk',ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-30 06:23:40 UTC
183601,Player #29403,Hello AQS #2,ubc air quality sensor,,2021-07-30 06:23:33 UTC
183600,Player #29403,yes,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-30 06:23:22 UTC
183599,Player #29403,cara,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-30 06:22:04 UTC
183598,Player #29403,monitoring,ubc air quality sensor,Why do you think I have been put here?,2021-07-30 06:21:47 UTC
183597,Player #29403,no idea,ubc air quality sensor,What do you think RAMP stands for?,2021-07-30 06:21:34 UTC
183596,Player #29403,no,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-30 06:21:24 UTC
183595,Player #29403,Hello AQS #2,ubc air quality sensor,,2021-07-30 06:21:17 UTC
183593,Player #35545,Hello AQS #6,ubc air quality sensor,,2021-07-30 03:48:52 UTC
183591,Player #27817,Shit,ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-30 00:27:27 UTC
183590,Player #27817,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-30 00:27:10 UTC
183589,Player #27817,Not,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-30 00:27:00 UTC
183588,Player #27817,Hello AQS #5,ubc air quality sensor,,2021-07-30 00:26:51 UTC
183587,Player #29403,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-30 00:22:52 UTC
183586,Player #29403,No,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-07-30 00:22:01 UTC
183585,Player #29403,Hello AQS #2,ubc air quality sensor,,2021-07-30 00:19:38 UTC
183577,Player #35542,No,ubc air quality sensor,Why do you think I have been put here?,2021-07-30 00:04:50 UTC
183576,Player #35542,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-30 00:04:32 UTC
183575,Player #35542,Low-Risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-30 00:04:05 UTC
183574,Player #35542,HELLO AQS #6,ubc air quality sensor,,2021-07-30 00:02:54 UTC
183487,Player #35531,Hello AQS #7,ubc air quality sensor,,2021-07-29 18:16:26 UTC
183458,Player #35524,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-29 17:29:05 UTC
183457,Player #35524,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-29 17:28:55 UTC
183456,Player #35524,random air matter particulates,ubc air quality sensor,What do you think RAMP stands for?,2021-07-29 17:28:46 UTC
183455,Player #35524,No,ubc air quality sensor,"Do you see an idling (running, but not moving) bus or vehicle? (Yes, No)",2021-07-29 17:28:22 UTC
183454,Player #35524,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-29 17:28:09 UTC
183453,Player #35524,HELLO AQS #6,ubc air quality sensor,,2021-07-29 17:27:53 UTC
183057,Player #35419,Hello AQS #8,ubc air quality sensor,,2021-07-29 02:18:01 UTC
183056,Player #35418,Hello AQS #6,ubc air quality sensor,,2021-07-29 01:49:32 UTC
182612,Player #35330,5,ubc air quality sensor,"On a scale of 1-5, what do you think of the air quality on UBC's campus? (1 being very poor, 5 being very good). ",2021-07-28 05:44:42 UTC
182611,Player #35330,Yes,ubc air quality sensor,"Do you like to get involved in recreational activities around UBC? (Yes, No)",2021-07-28 05:44:15 UTC
182610,Player #35330,Yes,ubc air quality sensor,"Would you like to receive notifications about air quality via your mobile phone? 📲 (Yes, No)",2021-07-28 05:44:09 UTC
182609,Player #35330,Wildfires,ubc air quality sensor,"In your opinion, which environmental impact is of most concern to UBC/Vancouver? 🌍",2021-07-28 05:44:01 UTC
182608,Player #35330,Low risk,ubc air quality sensor,"Do you think UBC's campus has been deemed 'Low-Risk' or 'High-Risk', by British Columbia's Air Quality Health Index? ",2021-07-28 05:43:00 UTC
182607,Player #35330,Hello AQS #7,ubc air quality sensor,,2021-07-28 05:42:33 UTC
182605,Player #25003,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-28 02:14:51 UTC
182604,Player #25003,Deforestation of old growth forests,ubc air quality sensor,What environmental impact should be of most concern to UBC/Vancouver? 🌍,2021-07-28 01:55:26 UTC
182603,Player #25003,Hello AQS #2,ubc air quality sensor,,2021-07-28 01:53:16 UTC
182596,Player #35327,Low,ubc air quality sensor,"Would you rather 'High-quality' sensors at a few locations on UBC's campus, or 'Low-cost' sensors at every intersection on UBC campus? Please respond to this message with 'High' or 'Low'.",2021-07-27 21:32:09 UTC
182595,Player #35327,Busses,ubc air quality sensor,"In your opinion, what are the biggest sources of air pollution on UBC's campus? ",2021-07-27 21:31:45 UTC
182594,Player #35327,No,ubc air quality sensor,"Do you drive to campus? 🚗 (Yes, No)",2021-07-27 21:31:29 UTC
182593,Player #35327,"Traffic, restaurants",ubc air quality sensor,I'm here to identify different sources of pollution - can you name any?,2021-07-27 21:31:18 UTC
182592,Player #35327,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-27 21:30:56 UTC
182591,Player #35327,Hello AQS #5,ubc air quality sensor,,2021-07-27 21:30:37 UTC
182586,Player #35324,Haze,ubc air quality sensor,What are indicators of poor air quality?,2021-07-27 18:47:32 UTC
182585,Player #35324,Rapid air multipollutant,ubc air quality sensor,What do you think RAMP stands for?,2021-07-27 18:47:23 UTC
182584,Player #35324,Ozone,ubc air quality sensor,What kind of air pollution annoys you the most? 😡,2021-07-27 18:46:56 UTC
182583,Player #35324,Often,ubc air quality sensor,How often do you think about air pollution and the dangers it has on your health?,2021-07-27 18:46:46 UTC
182582,Player #35324,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-27 18:46:36 UTC
182581,Player #35324,Hello AQS #5,ubc air quality sensor,,2021-07-27 18:46:24 UTC
182539,Player #35315,No,ubc air quality sensor,Is there a particular period of the day ⏰when you notice air quality becoming worse?,2021-07-27 17:28:22 UTC
182538,Player #35315,Smokey,ubc air quality sensor,What are indicators of poor air quality?,2021-07-27 17:28:08 UTC
182537,Player #35315,No,ubc air quality sensor,"Do you feel like you know a lot about air pollution on UBC campus? (Yes, No)",2021-07-27 17:27:34 UTC
182536,Player #35315,Hello AQS,ubc air quality sensor,,2021-07-27 17:27:06 UTC
182129,Player #35236,Weather app,ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 23:13:35 UTC
182128,Player #35236,"Summer, during forest fire season",ubc air quality sensor,Is there a particular season when you notice air quality becoming worse?,2021-07-26 22:45:55 UTC
182127,Player #35236,For longitudinal monitoring of air quality,ubc air quality sensor,Why do you think I have been put here?,2021-07-26 22:44:18 UTC
182126,Player #35236,No,ubc air quality sensor,"Do you suffer from asthma attacks? (Yes, No)",2021-07-26 22:42:40 UTC
182125,Player #35236,"Low breathability, high particulate matter levels",ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 22:42:26 UTC
182124,Player #35236,HELLO AQS #6,ubc air quality sensor,,2021-07-26 22:41:08 UTC
182093,Player #35231,Hello AQS #1,ubc air quality sensor,,2021-07-26 18:53:52 UTC
181775,Player #35163,No,ubc air quality sensor,"Do you receive information about poor air quality? If so, how? 💻 💬 ",2021-07-26 06:10:53 UTC
181774,Player #35163,I don't know,ubc air quality sensor,What are indicators of poor air quality?,2021-07-26 06:10:40 UTC
181773,Player #35163,Yes,ubc air quality sensor,"In addition to the air quality sensors around UBC, would you like to see air quality sensors around your home and near major traffic intersections? (Yes, No)",2021-07-26 06:10:29 UTC
